task_id,project_id,task_name,completion_pct,duration_optimistic,duration_likely,duration_pessimistic,float_days,on_critical_path
P001_T01,P001,Requirements Gathering,100,2,3,5,0,True
P001_T02,P001,Solution Design,100,3,5,8,0,True
P001_T03,P001,Architecture Approval,90,2,4,6,0,True
P001_T04,P001,Development,60,5,10,15,0,True
P001_T05,P001,Integration,40,3,5,9,3,False
P001_T06,P001,Testing,20,2,4,8,5,False
P001_T07,P001,Security Review,0,2,3,6,4,False
P001_T08,P001,UAT,0,3,5,7,6,False
P001_T09,P001,Deployment,0,1,2,4,8,False
P001_T10,P001,Go Live,0,1,2,3,10,False
P002_T01,P002,Requirements Gathering,100,2,3,5,0,True
P002_T02,P002,Solution Design,100,3,5,8,0,True
P002_T03,P002,Architecture Approval,90,2,4,6,0,True
P002_T04,P002,Development,60,5,10,15,0,True
P002_T05,P002,Integration,40,3,5,9,3,False
P002_T06,P002,Testing,20,2,4,8,5,False
P002_T07,P002,Security Review,0,2,3,6,4,False
P002_T08,P002,UAT,0,3,5,7,6,False
P002_T09,P002,Deployment,0,1,2,4,8,False
P002_T10,P002,Go Live,0,1,2,3,10,False
P003_T01,P003,Requirements Gathering,100,2,3,5,0,True
P003_T02,P003,Solution Design,100,3,5,8,0,True
P003_T03,P003,Architecture Approval,90,2,4,6,0,True
P003_T04,P003,Development,60,5,10,15,0,True
P003_T05,P003,Integration,40,3,5,9,3,False
P003_T06,P003,Testing,20,2,4,8,5,False
P003_T07,P003,Security Review,0,2,3,6,4,False
P003_T08,P003,UAT,0,3,5,7,6,False
P003_T09,P003,Deployment,0,1,2,4,8,False
P003_T10,P003,Go Live,0,1,2,3,10,False
P004_T01,P004,Requirements Gathering,100,2,3,5,0,True
P004_T02,P004,Solution Design,100,3,5,8,0,True
P004_T03,P004,Architecture Approval,90,2,4,6,0,True
P004_T04,P004,Development,60,5,10,15,0,True
P004_T05,P004,Integration,40,3,5,9,3,False
P004_T06,P004,Testing,20,2,4,8,5,False
P004_T07,P004,Security Review,0,2,3,6,4,False
P004_T08,P004,UAT,0,3,5,7,6,False
P004_T09,P004,Deployment,0,1,2,4,8,False
P004_T10,P004,Go Live,0,1,2,3,10,False
P005_T01,P005,Requirements Gathering,100,2,3,5,0,True
P005_T02,P005,Solution Design,100,3,5,8,0,True
